Размер,Категория,Бренд,Материал сумок,Цвет,Длина ручки,Наличие пыльника,Состояние товара,Цена,Модель,Винтаж,Наличие коробки,Наличие сертификата
INT S,Сумки через плечо,HERMES PRE-OWNED,Кожа,Черный,Длинный ремень,1,Новое с биркой,379000,Ordinary,0,1,0
INT S,Сумки тоут,MICHAEL KORS,Искусственная кожа,Голубой,Длинный ремень,0,Новое с биркой,17000,Ordinary,0,0,0
INT S,Сумки через плечо,TOM FORD,Кожа,Черный,Длинный ремень,0,Отличное состояние,90000,Ordinary,0,0,0
INT S,Сумки с короткими ручками,BOTTEGA VENETA,Лакированная кожа,Бежевый,Короткие ручки,1,Отличное состояние,153000,Ordinary,0,0,0
INT XS,Поясные сумки,HERMES PRE-OWNED,Кожа,Голубой,Длинный ремень,0,Новое с биркой,405000,Ordinary,0,0,0
INT S,Сумки через плечо,HERMES PRE-OWNED,Кожа,Розовый,Длинный ремень,0,Новое с биркой,375000,Ordinary,0,0,0
INT M,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Зеленый,Средние ручки,1,Новое с биркой,2720000,Birkin,0,1,0
INT M,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Коричневый,Короткие ручки,0,Отличное состояние,700000,Birkin,1,0,0
INT XS,Сумки через плечо,HERMES PRE-OWNED,Кожа,Коричневый,Длинный ремень,0,Новое с биркой,925000,Kelly,0,0,0
INT U,Сумки через плечо,HERMES PRE-OWNED,Кожа,Коричневый,Длинный ремень,0,Новое с биркой,369000,Ordinary,0,0,0
INT S,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Черный,Короткие ручки,0,Новое с биркой,2790000,Birkin,0,0,0
INT U,Сумки тоут,FURLA,Кожа,Черный,Короткие ручки,0,Отличное состояние,14000,Ordinary,0,0,0
INT U,Рюкзаки,CALVIN KLEIN,Другое,Серый,Средние ручки,0,Новое с биркой,13500,Ordinary,0,0,0
INT L,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Коричневый,Длинный ремень,1,Новое с биркой,535000,Ordinary,0,1,0
INT M,Сумки с короткими ручками,HERMES PRE-OWNED,Ткань,Коричневый,Длинный ремень,1,Хорошее состояние,206000,Ordinary,1,0,0
INT S,Сумки с короткими ручками,ULYANA SERGEENKO,Экзотическая кожа,Коричневый,Короткие ручки,1,Отличное состояние,333000,Ordinary,0,0,0
INT U,Сумки через плечо,TOM FORD,Кожа,Антрацит,Длинный ремень,0,Отличное состояние,58000,Ordinary,0,0,0
INT XS,Сумки через плечо,HERMES PRE-OWNED,Кожа,Коричневый,Длинный ремень,0,Новое с биркой,330000,Ordinary,0,0,0
INT M,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Черный,Короткие ручки,0,Хорошее состояние,1080000,Birkin,0,0,0
INT M,Сумки с короткими ручками,ULYANA SERGEENKO,Экзотическая кожа,Белый,Короткие ручки,1,Отличное состояние,414000,Ordinary,0,0,0
INT M,Поясные сумки,BALENCIAGA,Ткань,Черный,Длинный ремень,0,Отличное состояние,47500,Ordinary,0,0,0
INT S,Сумки через плечо,GUCCI,Кожа,Розовый,Длинный ремень,1,Новое с биркой,130000,Ordinary,0,0,0
INT L,Сумки тоут,KENZO,Кожа,Белый,Средние ручки,0,Новое с биркой,22500,Ordinary,0,0,0
INT S,Сумки через плечо,OFF-WHITE,Кожа,Черный,Длинный ремень,0,Отличное состояние,65000,Ordinary,0,0,0
INT S,Сумки с короткими ручками,rodo,Ткань,Черный,Короткие ручки,1,Новое с биркой,55000,Ordinary,0,1,1
INT U,Сумки через плечо,JACQUEMUS,Деним,Синий,Средние ручки,0,Новое с биркой,60000,Ordinary,0,0,0
INT S,Сумки через плечо,CHANEL PRE-OWNED,Лакированная кожа,Серый,Длинный ремень,0,Отличное состояние,180000,WOC,0,0,0
INT M,Рюкзаки,PRADA,Другое,Черный,Короткие ручки,0,Отличное состояние,55000,Ordinary,0,0,0
INT S,Сумки через плечо,CHLOE,Кожа,Коралловый,Длинный ремень,1,Отличное состояние,80000,Ordinary,0,0,1
INT M,Рюкзаки,COACH,Кожа,Коричневый,Средние ручки,0,Отличное состояние,23000,Ordinary,0,0,0
INT S,Сумки через плечо,CELINE PRE-OWNED,Кожа,Оранжевый,Средние ручки,0,Хорошее состояние,46000,Ordinary,0,0,0
INT L,Сумки через плечо,JIL SANDER,Кожа,Хаки,Длинный ремень,0,Отличное состояние,98000,Ordinary,0,0,0
INT M,Сумки тоут,DOLCE&GABBANA,Кожа,Черный,Длинный ремень,0,Хорошее состояние,68000,Ordinary,0,0,0
INT XS,Сумки через плечо,CHANEL PRE-OWNED,Кожа,Другое,Длинный ремень,0,Хорошее состояние,250000,Ordinary,0,0,0
INT S,Сумки через плечо,CHRISTIAN DIOR PRE-OWNED,Жаккард,Темно-синий,Длинный ремень,1,Отличное состояние,155000,30 Montaigne,0,1,0
INT U,Клатчи и вечерние сумки,CHARLOTTE OLYMPIA,Другое,Бирюзовый,Короткие ручки,0,Новое с биркой,37000,Ordinary,0,0,0
INT S,Клатчи и вечерние сумки,ELISABETTA FRANCHI,Искусственная кожа,Бежевый,Короткие ручки,1,Отличное состояние,14000,Ordinary,0,0,0
